0,267684
1,267676
2,267256
3,267224
4,266772
5,266772
6,266608
7,266640
8,266532
9,266428
10,265944
11,266040
12,265908
13,265948
14,265704
15,265720
16,265524
17,265236
18,265008
19,264816
20,264556
21,264524
22,264152
23,264312
24,264196
25,263924
26,263456
27,263848
28,263332
29,263444
30,263072
31,262928
32,262428
33,262716
34,262620
35,262296
36,261988
37,261876
38,261680
39,261568
40,261132
41,261292
42,261112
43,260888
44,260484
45,260372
46,260200
47,260128
48,259852
49,260016
50,259548
51,259660
52,259552
53,259272
54,259192
55,258804
56,258560
57,258664
58,258420
59,258420
60,258128
61,257904
62,257388
63,257788
64,257272
65,257400
66,257308
67,257320
68,257044
69,257084
70,256920
71,256600
72,256420
73,256100
74,255792
75,255680
76,255604
77,255388
78,255112
79,255320
80,254820
81,255240
82,255012
83,254884
84,254512
85,254608
86,254420
87,254520
88,254212
89,254380
90,254088
91,254240
92,253820
93,253884
94,253416
95,253608
96,253528
97,253140
98,252752
99,252864
100,252620
101,252380
102,251944
103,252252
104,251880
105,251960
106,251604
107,251572
108,251168
109,251200
110,250732
111,251076
112,250896
113,250752
114,250412
115,250380
116,250264
117,250200
118,249700
119,250004
120,249600
121,249552
122,249164
123,249332
124,249236
125,249096
126,248692
127,248644
128,248128
129,248368
130,248292
131,248076
132,247988
133,247592
134,247252
135,247332
136,246896
137,246832
138,246668
139,246444
140,245992
141,246120
142,246000
143,245604
144,245280
145,245500
146,245048
147,245288
148,244836
149,244836
150,244512
151,244752
152,244300
153,244508
154,244056
155,244264
156,244084
157,244116
158,243792
159,243632
160,243148
161,243212
162,242984
163,243048
164,242868
165,242756
166,242240
167,242432
168,242140
169,241980
170,241560
171,241656
172,241412
173,241580
174,241432
175,241256
176,241148
177,241028
178,240512
179,240736
180,240284
181,240476
182,240168
183,240200
184,240012
185,239716
186,239480
187,239592
188,239444
189,239504
190,239244
191,239036
192,238552
193,238800
194,238380
195,238492
196,238364
197,238072
198,237748
199,237860
200,237744
201,237720
202,237284
203,237252
204,237024
205,236928
206,236508
207,236748
208,236496
209,236600
210,236260
211,236212
212,236096
213,235712
214,235532
215,235260
216,234744
217,234824
218,234484
219,234324
220,234088
221,233936
222,233420
223,233612
224,233496
225,233424
226,233052
227,233324
228,233000
229,233032
230,232532
231,232676
232,232224
233,232416
234,232348
235,232320
236,231820
237,232140
238,231752
239,231672
240,231396
241,231468
242,231264
243,231208
244,230964
245,230868
246,230648
247,230632
248,230212
249,230436
250,230016
251,229936
252,229740
253,229700
254,229408
255,229312
256,228940
257,228956
258,228648
259,228808
260,228612
261,228548
262,228096
263,228160
264,228004
265,227980
266,227560
267,227640
268,227500
269,227492
270,227040
271,227168
272,226652
273,226996
274,226688
275,226868
276,226416
277,226464
278,225996
279,226156
280,225904
281,225832
282,225412
283,225492
284,225088
285,225072
286,224972
287,224812
288,224536
289,224608
290,224204
291,224332
292,224160
293,223960
294,223684
295,223652
296,223184
297,223376
298,223236
299,222908
300,222472
301,222616
302,222516
303,222476
304,221976
305,222296
306,222060
307,221796
308,221712
309,221328
310,220860
311,221068
312,220996
313,220600
314,220148
315,220480
316,220172
317,220060
318,219800
319,219672
320,219492
321,219188
322,218752
323,218928
324,218572
325,218444
326,218312
327,218312
328,218004
329,218172
330,217880
331,218052
332,217800
333,217964
334,217560
335,217784
336,217364
337,217556
338,217304
339,217232
340,217136
341,216908
342,216788
343,216472
344,215988
345,216052
346,215696
347,215568
348,215244
349,215276
350,215160
351,215144
352,214708
353,214708
354,214320
355,214528
356,214308
357,214408
358,214036
359,213972
360,213896
361,213892
362,213808
363,213424
364,213188
365,213036
366,212728
367,212744
368,212644
369,212420
370,212160
371,212216
372,211796
373,212060
374,211592
375,211784
376,211652
377,211476
378,211168
379,211024
380,210620
381,210940
382,210664
383,210760
384,210388
385,210420
386,210300
387,210000
388,209868
389,209564
390,209208
391,209096
392,209000
393,208788
394,208684
395,208288
396,208208
397,208052
398,207864
399,207920
400,207796
401,207628
402,207112
403,207160
404,206852
405,206660
406,206408
407,206564
408,206432
409,206452
410,206224
411,206336
412,206132
413,206252
414,205816
415,205816
416,205692
417,205696
418,205292
419,205420
420,205264
421,205328
422,205180
423,205256
424,204804
425,205092
426,204576
427,204800
428,204540
429,204620
430,204296
431,204528
432,204428
433,204364
434,204192
435,204008
436,203700
437,203684
438,203360
439,203604
440,203312
441,203392
442,203036
443,203148
444,203064
445,202872
446,202452
447,202500
448,202048
449,202344
450,201956
451,201892
452,201632
453,201472
454,201236
455,201180
456,200872
457,200696
458,200460
459,200484
460,200256
461,200144
462,199628
463,199772
464,199688
465,199448
466,199212
467,199260
468,198776
469,198936
470,198740
471,198684
472,198408
473,198200
474,197876
475,197940
476,197536
477,197616
478,197444
479,197164
480,196776
481,196680
482,196340
483,196324
484,195856
485,196032
486,195948
487,195844
488,195520
489,195672
490,195560
491,195484
492,195264
493,195380
494,195120
495,195308
496,195136
497,195112
498,194788
499,194836
500,194600
501,194624
502,194520
503,194444
504,194240
505,194104
506,193828
507,193812
508,193608
509,193592
510,193108
511,193140
512,193028
513,193072
514,192976
515,192796
516,192536
517,192716
518,192232
519,192216
520,191876
521,191828
522,191328
523,191328
524,191100
525,191100
526,190728
527,190648
528,190412
529,190564
530,190460
531,190096
532,189804
533,189892
534,189816
535,189472
536,189116
537,189068
538,188992
539,188824
540,188324
541,188604
542,188432
543,188232
544,187764
545,187716
546,187408
547,187376
548,186892
549,187100
550,186728
551,186976
552,186572
553,186604
554,186280
555,186104
556,185956
557,185948
558,185624
559,185480
560,185140
561,185108
562,185012
563,184688
564,184332
565,184236
566,184016
567,184156
568,183920
569,183944
570,183492
571,183636
572,183496
573,183424
574,183052
575,182956
576,182456
577,182880
578,182508
579,182460
580,182356
581,182348
582,182264
583,182168
584,181892
585,181652
586,181312
587,181248
588,181068
589,181084
590,180856
591,180936
592,180516
593,180420
594,180032
595,180232
596,180004
597,180020
598,179856
599,179816
600,179492
601,179524
602,179408
603,179264
604,178812
605,179144
606,178996
607,178788
608,178700
609,178560
610,178092
611,178340
612,177936
613,178112
614,178008
615,177740
616,177288
617,177432
618,177028
619,177060
620,176972
621,176560
622,176204
623,176380
624,175992
625,175912
626,175572
627,175444
628,175364
629,175272
630,175152
631,174868
632,174592
633,174352
634,173948
635,173964
636,173672
637,173512
638,173416
639,173188
640,172848
641,173092
642,172672
643,172952
644,172548
645,172484
646,172396
647,172016
648,171548
649,171548
650,171352
651,171096
652,170788
653,170756
654,170432
655,170448
656,170352
657,169932
658,169464
659,169808
660,169292
661,169420
662,169168
663,169016
664,168944
665,168772
666,168680
667,168320
668,168076
669,167836
670,167384
671,167416
672,167312
673,167012
674,166800
675,166808
676,166500
677,166372
678,166120
679,165984
680,165692
681,165484
682,165176
683,165380
684,165088
685,165104
686,164604
687,164764
688,164456
689,164248
690,163972
691,163860
692,163740
693,163472
694,163228
695,163132
696,163040
697,162904
698,162436
699,162732
700,162576
701,162604
702,162104
703,162424
704,162276
705,162020
706,161584
707,161784
708,161300
709,161284
710,161024
711,161172
712,160784
713,160768
714,160380
715,160556
716,160460
717,160336
718,159980
719,159916
720,159788
721,159448
722,158964
723,159124
724,158800
725,158832
726,158364
727,158732
728,158376
729,158552
730,158036
731,158228
732,157760
733,157992
734,157864
735,157636
736,157496
737,157200
738,157044
739,157020
740,156616
741,156840
742,156388
743,156388
744,155904
745,156232
746,155908
747,155844
748,155772
749,155592
750,155436
751,155076
752,154752
753,154840
754,154548
755,154404
756,154048
757,153920
758,153708
759,153596
760,153112
761,153392
762,153116
763,152972
764,152728
765,152872
766,152564
767,152596
768,152368
769,152224
770,151708
771,151900
772,151400
773,151512
774,151060
775,151028
776,150704
777,150656
778,150548
779,150284
780,150156
781,149864
782,149348
783,149628
784,149112
785,149480
786,148964
787,148996
788,148688
789,148688
790,148300
791,148380
792,147864
793,147896
794,147604
795,147540
796,147472
797,147056
798,146588
799,146732
800,146440
801,146216
802,146128
803,145796
804,145296
805,145328
806,144828
807,145084
808,144968
809,144792
810,144340
811,144340
812,144176
813,144016
814,143764
815,143564
816,143096
817,143408
818,143036
819,143260
820,142808
821,143088
822,142780
823,142572
824,142468
825,142496
826,142400
827,142348
828,142008
829,142176
830,142012
831,141708
832,141320
833,141224
834,141120
835,140740
836,140288
837,140552
838,140308
839,140084
840,139888
841,139696
842,139244
843,139604
844,139296
845,139216
846,138732
847,139060
848,138704
849,138544
850,138236
851,138324
852,138000
853,138048
854,137676
855,137952
856,137532
857,137532
858,137016
859,137424
860,137228
861,137352
862,137188
863,137256
864,137116
865,136932
866,136728
867,136624
868,136528
869,136284
870,136048
871,135784
872,135428
873,135628
874,135288
875,135160
876,134884
877,134868
878,134464
879,134512
880,134028
881,134420
882,134096
883,134000
884,133708
885,133892
886,133752
887,133392
888,132972
889,133172
890,133052
891,132880
892,132708
893,132748
894,132456
895,132592
896,132140
897,132340
898,131824
899,131856
900,131404
901,131468
902,131160
903,131208
904,130900
905,130804
906,130304
907,130632
908,130148
909,130504
910,130180
911,130308
912,129824
913,130032
914,129804
915,129828
916,129632
917,129672
918,129508
919,129588
920,129496
921,129136
922,128860
923,128684
924,128504
925,128528
926,128372
927,128012
928,127784
929,127656
930,127500
931,127420
932,127192
933,126936
934,126836
935,126644
936,126160
937,126572
938,126088
939,126424
940,126276
941,126132
942,125744
943,125840
944,125644
945,125324
946,125144
947,124904
948,124676
949,124660
950,124480
951,124552
952,124196
953,124468
954,124224
955,124352
956,124124
957,124060
958,123768
959,123800
960,123676
961,123588
962,123440
963,123264
964,123100
965,122748
966,122624
967,122520
968,122004
969,122100
970,121968
971,121992
972,121900
973,121876
974,121424
975,121632
976,121468
977,121244
978,120824
979,120920
980,120596
981,120676
982,120320
983,120160
984,119836
985,120068
986,119584
987,119808
988,119612
989,119708
990,119352
991,119592
992,119268
993,119444
994,118960
995,119024
996,118900
997,118948
998,118592
999,118784
